Gene_Name	Direction_Differentially_Regulated
PAC:17817982	0
PAC:17817983	0
PAC:17817984	0
PAC:17817985	0
PAC:17817986	0
PAC:17817987	0
PAC:17817988	0
PAC:17817989	0
PAC:17817990	0
PAC:17817991	0
PAC:17817992	0
PAC:17817993	0
PAC:17817995	0
PAC:17817996	0
PAC:17817997	0
PAC:17817998	0
PAC:17817999	0
PAC:17818000	0
PAC:17818001	0
PAC:17818003	0
PAC:17818004	0
PAC:17818007	0
PAC:17818009	0
PAC:17818010	0
PAC:17818011	0
PAC:17818012	0
PAC:17818013	-1
PAC:17818014	0
PAC:17818015	0
PAC:17818016	0
PAC:17818017	0
PAC:17818018	0
PAC:17818019	0
PAC:17818020	0
PAC:17818021	0
PAC:17818022	0
PAC:17818023	0
PAC:17818025	0
PAC:17818027	0
PAC:17818029	0
PAC:17818030	0
PAC:17818031	0
PAC:17818034	0
PAC:17818035	0
PAC:17818036	0
PAC:17818038	0
PAC:17818040	0
PAC:17818042	0
PAC:17818043	0
PAC:17818044	0
PAC:17818045	0
PAC:17818046	-1
PAC:17818048	0
PAC:17818049	0
PAC:17818051	0
PAC:17818052	0
PAC:17818053	0
PAC:17818054	0
PAC:17818055	0
PAC:17818056	0
PAC:17818057	0
PAC:17818058	0
PAC:17818059	0
PAC:17818060	0
PAC:17818061	0
PAC:17818062	0
PAC:17818063	0
PAC:17818064	0
PAC:17818066	0
PAC:17818068	0
PAC:17818069	0
PAC:17818070	0
PAC:17818071	0
PAC:17818073	0
PAC:17818075	0
PAC:17818076	0
PAC:17818077	0
PAC:17818078	0
PAC:17818079	0
PAC:17818080	0
PAC:17818081	0
PAC:17818082	0
PAC:17818083	0
PAC:17818085	0
PAC:17818086	0
PAC:17818087	0
PAC:17818088	0
PAC:17818089	0
PAC:17818090	0
PAC:17818091	0
PAC:17818095	0
PAC:17818096	0
PAC:17818097	0
PAC:17818098	0
PAC:17818099	0
PAC:17818100	0
PAC:17818101	0
PAC:17818102	0
PAC:17818103	0
PAC:17818104	0
PAC:17818105	0
PAC:17818107	0
PAC:17818108	0
PAC:17818112	0
PAC:17818113	0
PAC:17818115	0
PAC:17818117	0
PAC:17818118	0
PAC:17818119	0
PAC:17818120	0
PAC:17818121	0
PAC:17818122	0
PAC:17818123	0
PAC:17818124	0
PAC:17818125	0
PAC:17818127	0
PAC:17818128	0
PAC:17818129	0
PAC:17818130	0
PAC:17818131	0
PAC:17818132	0
PAC:17818133	0
PAC:17818134	0
PAC:17818135	-1
PAC:17818136	0
PAC:17818139	0
PAC:17818140	0
PAC:17818141	0
PAC:17818143	0
PAC:17818144	0
PAC:17818146	0
PAC:17818147	0
PAC:17818148	0
PAC:17818149	0
PAC:17818150	0
PAC:17818152	0
PAC:17818153	0
PAC:17818154	0
PAC:17818155	0
PAC:17818156	0
PAC:17818157	0
PAC:17818158	0
PAC:17818161	0
PAC:17818163	0
PAC:17818164	0
PAC:17818168	0
PAC:17818170	0
PAC:17818171	0
PAC:17818174	0
PAC:17818175	0
PAC:17818176	0
PAC:17818179	0
PAC:17818180	0
PAC:17818181	0
PAC:17818182	0
PAC:17818184	0
PAC:17818185	0
PAC:17818186	0
PAC:17818187	0
PAC:17818188	0
PAC:17818189	0
PAC:17818190	0
PAC:17818193	0
PAC:17818194	0
PAC:17818195	0
PAC:17818196	0
PAC:17818198	0
PAC:17818199	0
PAC:17818200	0
PAC:17818202	0
PAC:17818204	0
PAC:17818205	0
PAC:17818207	0
PAC:17818208	0
PAC:17818209	0
PAC:17818210	0
PAC:17818211	0
PAC:17818212	0
PAC:17818213	0
PAC:17818214	0
PAC:17818215	0
PAC:17818216	0
PAC:17818220	0
PAC:17818221	0
PAC:17818222	0
PAC:17818223	0
PAC:17818224	0
PAC:17818225	0
PAC:17818226	0
PAC:17818227	0
PAC:17818228	0
PAC:17818230	0
PAC:17818232	0
PAC:17818234	0
PAC:17818235	0
PAC:17818236	0
PAC:17818237	0
PAC:17818238	0
PAC:17818240	0
PAC:17818242	0
PAC:17818243	0
PAC:17818244	0
PAC:17818246	0
PAC:17818248	0
PAC:17818249	0
PAC:17818250	0
PAC:17818252	0
PAC:17818253	0
PAC:17818254	0
PAC:17818255	0
PAC:17818256	0
PAC:17818260	0
PAC:17818261	0
PAC:17818262	0
PAC:17818263	0
PAC:17818264	0
PAC:17818270	0
PAC:17818274	0
PAC:17818275	0
PAC:17818276	0
PAC:17818277	0
PAC:17818278	0
PAC:17818280	0
PAC:17818282	0
PAC:17818283	0
PAC:17818284	0
PAC:17818285	0
PAC:17818286	0
PAC:17818287	0
PAC:17818288	0
PAC:17818289	0
PAC:17818290	0
PAC:17818291	0
PAC:17818292	0
PAC:17818293	0
PAC:17818294	0
PAC:17818295	0
PAC:17818298	0
PAC:17818299	0
PAC:17818301	0
PAC:17818303	0
PAC:17818305	0
PAC:17818306	0
PAC:17818307	0
PAC:17818308	0
PAC:17818309	0
PAC:17818310	0
PAC:17818312	0
PAC:17818313	0
PAC:17818314	0
PAC:17818316	0
PAC:17818318	0
PAC:17818319	0
PAC:17818320	0
PAC:17818322	0
PAC:17818323	-1
PAC:17818324	0
PAC:17818325	0
PAC:17818326	0
PAC:17818327	0
PAC:17818328	0
PAC:17818329	0
PAC:17818330	0
PAC:17818331	0
PAC:17818332	0
PAC:17818333	0
PAC:17818334	0
PAC:17818335	0
PAC:17818336	0
PAC:17818337	0
PAC:17818338	0
PAC:17818339	0
PAC:17818340	0
PAC:17818341	0
PAC:17818342	0
PAC:17818343	0
PAC:17818344	0
PAC:17818345	0
PAC:17818347	0
PAC:17818349	0
PAC:17818350	0
PAC:17818351	0
PAC:17818352	0
PAC:17818353	0
PAC:17818355	0
PAC:17818356	0
PAC:17818357	0
PAC:17818359	0
PAC:17818360	0
PAC:17818362	0
PAC:17818363	0
PAC:17818364	0
PAC:17818365	0
PAC:17818366	0
PAC:17818367	0
PAC:17818368	0
PAC:17818369	0
PAC:17818371	0
PAC:17818372	0
PAC:17818373	0
PAC:17818374	0
PAC:17818382	0
PAC:17818383	0
PAC:17818386	0
PAC:17818387	0
PAC:17818388	0
PAC:17818389	0
PAC:17818390	0
PAC:17818391	0
PAC:17818397	0
PAC:17818401	0
PAC:17818402	0
PAC:17818403	0
PAC:17818406	0
PAC:17818410	0
PAC:17818411	0
PAC:17818414	0
PAC:17818415	0
PAC:17818416	0
PAC:17818417	0
PAC:17818418	0
PAC:17818419	0
PAC:17818420	0
PAC:17818423	0
PAC:17818424	0
PAC:17818426	0
PAC:17818428	0
PAC:17818430	0
PAC:17818431	0
PAC:17818432	0
PAC:17818433	0
PAC:17818434	0
PAC:17818435	0
PAC:17818437	0
PAC:17818438	0
PAC:17818440	0
PAC:17818441	0
PAC:17818442	0
PAC:17818443	0
PAC:17818444	0
PAC:17818446	0
PAC:17818447	0
PAC:17818448	0
PAC:17818449	0
PAC:17818450	0
PAC:17818452	0
PAC:17818453	0
PAC:17818456	0
PAC:17818457	-1
PAC:17818459	0
PAC:17818461	0
PAC:17818462	0
PAC:17818465	0
PAC:17818467	0
PAC:17818468	0
PAC:17818469	0
PAC:17818470	0
